product_name,brand,price,mrp,discount_percent,rating,reviews_count,stock_status,image_url,product_url,breadcrumbs,scraped_at,productId
MARS Set of 3 Matte Lipsticks Box - Peaches and Nudes 02,MARS,348,447,22%,4.4000468254089355,29889,in_stock,http://assets.myntassets.com/assets/images/2024/SEPTEMBER/13/S7UgvCU9_d2613e5cd8ff4c7dbe828281e149a2ce.jpg,https://www.myntra.com/lipstick/mars/mars-set-of-3-matte-lipsticks-box---peaches-and-nudes-02/17723132/buy,/Personal Care,2026-04-03T22:06:17.643556,17723132
nandiayan Set Of 6 Long Lasting & Smudge Proof Liquid Lipstick  - 3.5ml Each,nandiayan,180,999,82%,3.7062642574310303,2618,in_stock,http://assets.myntassets.com/assets/images/2025/OCTOBER/1/ny2Cujer_caf5eb110690468c8dbe07de5aa972e1.jpg,https://www.myntra.com/lipstick/nandiayan/nandiayan-set-of-6-long-lasting--smudge-proof-liquid-lipstick----35ml-each/32619379/buy,/Personal Care,2026-04-03T22:06:17.643556,32619379
Pilgrim Set Of 4 Matte Me Up Mini Liquid Lipstick - 1 ml Each - Nude Temptation,Pilgrim,260,745,65%,4.363968372344971,6572,in_stock,http://assets.myntassets.com/assets/images/2024/DECEMBER/5/lPHXlYTx_8a6f154603544d5c93632fc7c852bcb1.jpg,https://www.myntra.com/lipstick/pilgrim/pilgrim-set-of-4-matte-me-up-mini-liquid-lipstick---1-ml-each---nude-temptation/31857366/buy,/Personal Care,2026-04-03T22:06:17.643556,31857366
ETUDE Dear Darling Water Gel Lip & Cheek Tint Lipstick 9 g - Cherry Ade 02,ETUDE,405,450,10%,4.430197238922119,26095,in_stock,http://assets.myntassets.com/assets/images/2025/SEPTEMBER/16/NtXSQ1xD_5fde0ef355734e38bd22d969d4875a8f.jpg,https://www.myntra.com/lipstick/etude/etude-dear-darling-water-gel-lip--cheek-tint-lipstick-9-g---cherry-ade-02/20474268/buy,/Personal Care,2026-04-03T22:06:17.643556,20474268
Lakme Forever Matte Lightweight & Transferproof 16Hr Liquid Lipstick 5.6ml - Crimson Rose,Lakme,252,450,44%,4.389800548553467,143050,in_stock,http://assets.myntassets.com/assets/images/11131096/2024/3/11/9f23ea2f-326d-4817-aca1-a8de59de2b1e1710155652540-Lakme-Forever-Matte-Liquid-Lip-Colour---Crimson-Rose-04-8391-1.jpg,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-lightweight--transferproof-16hr-liquid-lipstick-56ml---crimson-rose/11131096/buy,/Personal Care,2026-04-03T22:06:17.643556,11131096
FACES CANADA Comfy Matte Wow Liquid Lipstick - 3.8ml - Cocoa Crush 07,FACES CANADA,259,299,13%,4.449685096740723,20968,in_stock,http://assets.myntassets.com/assets/images/2026/JANUARY/30/Ar36JdQP_0fc9895aa8d74e82a884621b55f63e0f.jpg,https://www.myntra.com/lipstick/faces+canada/faces-canada-comfy-matte-wow-liquid-lipstick---38ml---cocoa-crush-07/29905122/buy,/Personal Care,2026-04-03T22:06:17.643556,29905122
MARS Love Track Velvet Lip Tint - 2.8 ml - Three Words,MARS,281,299,6%,4.533106327056885,20857,in_stock,http://assets.myntassets.com/assets/images/32048835/2025/2/27/4b1b6048-f7f5-4d14-9b91-07fcccfd6d921740652196919-MARS-Love-Track-Velvet-Lip-Tint---28-ml---Three-Words-538174-11.jpg,https://www.myntra.com/lipstick/mars/mars-love-track-velvet-lip-tint---28-ml---three-words/32048835/buy,/Personal Care,2026-04-03T22:06:17.643556,32048835
MARS Love Track Velvet Lip Tint - 2.8 ml - One Love,MARS,281,299,6%,4.53312873840332,20858,in_stock,http://assets.myntassets.com/assets/images/32048836/2025/2/27/4295cec4-2fca-429e-b8b4-e0c44f5fbe6d1740652214904-MARS-Love-Track-Velvet-Lip-Tint---28-ml---One-Love-460174065-11.jpg,https://www.myntra.com/lipstick/mars/mars-love-track-velvet-lip-tint---28-ml---one-love/32048836/buy,/Personal Care,2026-04-03T22:06:17.643556,32048836
FACES CANADA Comfy Matte Wow Liquid Lipstick - 3.8ml - Choco Couture 01,FACES CANADA,259,299,13%,4.4496541023254395,20965,in_stock,http://assets.myntassets.com/assets/images/2026/JANUARY/30/ePQkvtJg_11e829e2132f4a28bbb74739b0d732b9.jpg,https://www.myntra.com/lipstick/faces+canada/faces-canada-comfy-matte-wow-liquid-lipstick---38ml---choco-couture-01/29905114/buy,/Personal Care,2026-04-03T22:06:17.643556,29905114
MY COLORS Set Of 3 Crayon Lipstick Set,MY COLORS,495,495,0%,0.0,0,in_stock,http://assets.myntassets.com/assets/images/2026/MARCH/16/23azcg23_bc7c2f2387544866b9a49317ab418fad.jpg,https://www.myntra.com/lipstick/my+colors/my-colors-set-of-3-crayon-lipstick-set/40704351/buy,/Personal Care,2026-04-03T22:06:17.643556,40704351
